cylinders,year,co2,mpg
16,2008,889,10
16,2010,889,10
16,2011,889,10
16,2012,889,10
16,2013,847,10
16,2014,847,10
16,2015,847,10
16,2018,840,11
16,2019,840,11
16,2020,852,10
16,2021,866,10
16,2022,933,10
16,2023,933,10
16,2024,979,9
